No,Nombre Generico (principio activo / composicion),Concentracion maxima,Forma Farmaceutica,Observaciones / Recomendaciones
1,ACEITE DE HIGADO DE BACALAO + EXTRACTO DE MALTA,NO DEBE EXCEDER LA DOSIS DIARIA RECOMENDADA,EMULSION,No superar la dosis recomendada.
2,ACEITE DE HIGADO DE BACALAO + VITAMINA C,NO DEBE EXCEDER LA DOSIS DIARIA RECOMENDADA,EMULSION,No superar la dosis recomendada.
3,ACEITE DE HIGADO DE BACALAO + VITAMINA E,NO DEBE EXCEDER LA DOSIS DIARIA RECOMENDADA,CAPSULA BLANDAS,No superar la dosis recomendada.
4,ACEITE DE LINAZA,1000 mg,CAPSULA BLANDAS,No superar la dosis recomendada.
5,ACETAMINOFEN (PARACETAMOL),1000 mg,CAPLETA / TABLETA / COMPRIMIDO / COMPRIMIDOS EFERVESCENTES,"La dosis total de acetaminofen/paracetamol no debe sobrepasar los 80 mg/kg/dia para ninos con un peso menor de 37 kg, y 3 g al dia en adultos y ninos con mas de 38 kg. Puede producir hepatotoxicidad, incluso a dosis terapeuticas, despues de un corto periodo de tratamiento, aun en pacientes sin insuficiencia hepatica."
6,ACETAMINOFEN (PARACETAMOL),500 mg,SUPOSITORIO,"La dosis total de acetaminofen/paracetamol no debe sobrepasar los 80 mg/kg/dia para ninos con un peso menor de 37 kg, y 3 g al dia en adultos y ninos con mas de 38 kg. Puede producir hepatotoxicidad, incluso a dosis terapeuticas, despues de un corto periodo de tratamiento, aun en pacientes sin insuficiencia hepatica."
7,ACETAMINOFEN (PARACETAMOL),50 mg,TABLETA / COMPRIMIDOS MASTICABLES,"La dosis total de acetaminofen/paracetamol no debe sobrepasar los 80 mg/kg/dia para ninos con un peso menor de 37 kg, y 3 g al dia en adultos y ninos con mas de 38 kg. Puede producir hepatotoxicidad, incluso a dosis terapeuticas, despues de un corto periodo de tratamiento, aun en pacientes sin insuficiencia hepatica."
8,ACETAMINOFEN (PARACETAMOL),160 mg / 5 mL,JARABE / SUSPENSION,"La dosis total de acetaminofen/paracetamol no debe sobrepasar los 80 mg/kg/dia para ninos con un peso menor de 37 kg, y 3 g al dia en adultos y ninos con mas de 38 kg. Puede producir hepatotoxicidad, incluso a dosis terapeuticas, despues de un corto periodo de tratamiento, aun en pacientes sin insuficiencia hepatica."
9,ACETAMINOFEN (PARACETAMOL),100 mg / mL,SOLUCION GOTAS ORALES,"La dosis total de acetaminofen/paracetamol no debe sobrepasar los 80 mg/kg/dia para ninos con un peso menor de 37 kg, y 3 g al dia en adultos y ninos con mas de 38 kg. Puede producir hepatotoxicidad, incluso a dosis terapeuticas, despues de un corto periodo de tratamiento, aun en pacientes sin insuficiencia hepatica."
10,ACETAMINOFEN (PARACETAMOL) COMBINADO CON: AMANTADINA CLORHIDRATO + FENILEFRINA CLORHIDRATO,Hasta 500 mg de Acetaminofen + 50 mg Amantadina + 10 mg Fenilefrina,TABLETA / COMPRIMIDO,"La amantadina debera usarse con precaucion en pacientes con disfuncion hepatica. Se han observado algunos casos un aumento de las transaminasas. La amantadina puede producir insomnio. La dosis de acetaminofen/paracetamol no debe sobrepasar los 80 mg/kg/dia para ninos con un peso menor de 37 kg y 3 g al dia en adultos y ninos con mas de 38 kg. Puede producir hepatotoxicidad, incluso a dosis terapeuticas, despues de un corto periodo de tratamiento y en pacientes que no tengan insuficiencia hepatica. Su uso puede afectar el sueno y el reposo normal."
11,ACETAMINOFEN (PARACETAMOL) + ACIDO ACETILSALICILICO + CAFEINA,250 mg + 250 mg + 65 mg,CAPLETA / TABLETA / COMPRIMIDOS RECUBIERTOS,"La dosis total de acetaminofen/paracetamol no debe sobrepasar los 80 mg/kg/dia para ninos con un peso menor de 37 kg, y 3 g al dia en adultos y ninos con mas de 38 kg. Puede producir hepatotoxicidad, incluso a dosis terapeuticas, despues de un corto periodo de tratamiento, aun en pacientes sin insuficiencia hepatica. No debe ingerirse alcohol en concomitancia al uso de acido acetilsalicilico, ya que incrementa los efectos adversos gastrointestinales del acido acetilsalicilico, y es un factor desencadenante en la irritacion cronica producida por el acido acetilsalicilico. La utilizacion del acido acetilsalicilico en pacientes que consumen habitualmente alcohol."
12,ACETAMINOFEN (PARACETAMOL) + CAFEINA,Hasta 500 mg Acetaminofen / 65 mg de Cafeina,CAPLETA / TABLETA / COMPRIMIDOS RECUBIERTAS,"La dosis total de acetaminofen/paracetamol no debe sobrepasar los 80 mg/kg/dia para ninos con un peso menor de 37 kg, y 3 g al dia en adultos y ninos con mas de 38 kg. Puede producir hepatotoxicidad, incluso a dosis terapeuticas, despues de un corto periodo de tratamiento y en pacientes que no tengan insuficiencia hepatica. Su uso puede afectar el sueno y el reposo normal."
13,ACETAMINOFEN (PARACETAMOL) + DEXCLORFENIRAMINA MALEATO,100 mg + 0.5 mg / mL,SOLUCION ORAL GOTAS,"La dosis total de acetaminofen/paracetamol no debe sobrepasar los 80 mg/kg/dia para ninos con un peso menor de 37 kg, y 3 g al dia en adultos y ninos con mas de 38 kg. Puede producir hepatotoxicidad, incluso a dosis terapeuticas, despues de un corto periodo de tratamiento, aun en pacientes sin insuficiencia hepatica. Si luego de tres dias de tratamiento persisten los sintomas acudir a su medico o a una unidad de salud."
14,ACETAMINOFEN (PARACETAMOL) + FENILEFRINA HCL + CETIRIZINA DICLORHIDRATO,325 mg + 5 mg + 5 mg / 5 mL,JARABE,"La dosis total de acetaminofen/paracetamol no debe sobrepasar los 80 mg/kg/dia para ninos con un peso menor de 37 kg, y 3 g al dia en adultos y ninos con mas de 38 kg. Puede producir hepatotoxicidad, incluso a dosis terapeuticas, despues de un corto periodo de tratamiento, aun en pacientes sin insuficiencia hepatica. Si luego de tres dias persisten los sintomas acuda a su medico o a la unidad de salud mas cercana."
15,ACETAMINOFEN (PARACETAMOL) COMBINADO CON: FENILEFRINA CLORHIDRATO + CETIRIZINA DICLORHIDRATO,Hasta 500 mg de Acetaminofen + 10 mg Fenilefrina + 5 mg Cetirizina,TABLETA / COMPRIMIDO / CAPLETA / CAPSULAS / POLVO PARA SOLUCION ORAL,"La dosis total de acetaminofen/paracetamol no debe sobrepasar los 80 mg/kg/dia para ninos con un peso menor de 37 kg, y 3 g al dia en adultos y ninos con mas de 38 kg. Puede producir hepatotoxicidad, incluso a dosis terapeuticas, despues de un corto periodo de tratamiento, aun en pacientes sin insuficiencia hepatica."
16,ACETAMINOFEN (PARACETAMOL) COMBINADO CON: CLORFENIRAMINA MALEATO + (DEXTROMETORFANO BROMHIDRATO o BROMHEXINA CLORHIDRATO) + FENILEFRINA CLORHIDRATO,Hasta 500 mg Acetaminofen + 5 mg Clorfeniramina + (30 mg Dextrometorfano o 8 mg Bromhexina) + 10 mg Fenilefrina,TABLETA / COMPRIMIDO / CAPLETA / CAPSULAS / POLVO PARA SOLUCION ORAL / COMPRIMIDOS EFERVESCENTES,"La dosis total de acetaminofen/paracetamol no debe sobrepasar los 80 mg/kg/dia para ninos con un peso menor de 37 kg, y 3 g al dia en adultos y ninos con mas de 38 kg. Puede producir hepatotoxicidad, incluso a dosis terapeuticas, despues de un corto periodo de tratamiento, aun en pacientes sin insuficiencia hepatica. Si luego de tres dias de tratamiento persisten los sintomas acudir a su medico o a una unidad de salud."
17,ACETAMINOFEN (PARACETAMOL) COMBINADO CON: GUAIFENESINA + CLORFENAMINA MALEATO + FENILEFRINA + (DEXTROMETORFANO o BROMHEXINA),Hasta 125 mg Acetaminofen + 100 mg Guaifenesina + 5 mg Clorfeniramina + 5 mg Fenilefrina + (15 mg Dextrometorfano o 4 mg Bromhexina) / 5 mL,JARABE,No superar la dosis recomendada. Usar con precaucion en hipertensos.
18,ACETAMINOFEN + CARBONATO DE CALCIO + TIAMINA MONONITRATO + CAFEINA ANHIDRA,500 mg + 260 mg + 84 mg + 65 mg,TABLETA / COMPRIMIDO,"No superar la dosis recomendada, si los sintomas persisten luego de 72 horas o empeoran antes acuda a su medico. Puede producir somnolencia."
19,ACETATO DE ALUMINIO,3 mg / 5 mL (0.030 g/100 mL),LOCION,Si persisten los sintomas luego de la dosis recomendada busque atencion medica.
20,ACETATO DE CALCIO,700 mg,TABLETA / COMPRIMIDOS RECUBIERTAS,No usar si hay problemas renales o cardiacos.
21,ACETATO DE CALCIO + SULFATO DE ALUMINIO,16.45 g + 51.03 g / 100 g,POLVO PARA SOLUCION TOPICA,No observaciones.
22,ACETATO DE ZINC DIHIDRATADO,5 mg / 5 mL,GEL,Si persisten los sintomas luego de la dosis recomendada busque atencion medica.
23,ACIDO ACETIL SALICILICO,500 mg,TABLETA / COMPRIMIDOS / CAPLETAS,"El alcohol puede incrementar el riesgo de dano gastrointestinal cuando se toma junto con acido acetilsalicilico. Puede producir sangrado de tubo digestivo alto, no ingerir en periodos cercanos a una cirugia por el incremento del riesgo de hemorragia. No usar por mas del tiempo y dosis recomendada. No utilizar en pacientes alergicos al acido acetil salicilico."
24,ACIDO ACETIL SALICILICO + CAFEINA,Hasta 500 mg de AAS / 65 mg Cafeina,TABLETA / COMPRIMIDO,"El alcohol puede incrementar el riesgo de dano gastrointestinal cuando se toma junto con acido acetilsalicilico. Puede producir sangrado de tubo digestivo alto, no ingerir en periodos cercanos a una cirugia por el incremento del riesgo de hemorragia. No usar por mas del tiempo y dosis recomendada. Este medicamento no debe emplearse como sustituto del sueno. No utilizar en pacientes alergicos al acido acetil salicilico."
25,ACIDO ACETIL SALICILICO + CAFEINA + BICARBONATO DE SODIO + ACIDO CITRICO,500 mg + 65 mg + 1985 mg + 1000 mg,TABLETA / CAPLETA / COMPRIMIDO / COMPRIMIDOS EFERVESCENTE,"El alcohol puede incrementar el riesgo de dano gastrointestinal cuando se toma junto con acido acetilsalicilico. Puede producir sangrado de tubo digestivo alto, no ingerir en periodos cercanos a una cirugia por el incremento del riesgo de hemorragia. No usar por mas del tiempo y dosis recomendada. Este medicamento no debe emplearse como sustituto del sueno. No utilizar en pacientes alergicos al acido acetil salicilico."
26,ACIDO ACETIL SALICILICO + CAFEINA + BICARBONATO DE SODIO + ACIDO CITRICO,500 mg + 65 mg + 2000 mg + 2000 mg,TABLETA / COMPRIMIDO EFERVESCENTE,"El alcohol puede incrementar el riesgo de dano gastrointestinal cuando se toma junto con acido acetilsalicilico. Puede producir sangrado de tubo digestivo alto, no ingerir en periodos cercanos a una cirugia por el incremento del riesgo de hemorragia. No usar por mas del tiempo y dosis recomendada. Este medicamento no debe emplearse como sustituto del sueno. No utilizar en pacientes alergicos a la acido acetil salicilico."
27,ACIDO ACETIL SALICILICO COMBINADO CON: CLORFENIRAMINA MALEATO + DEXTROMETORFANO BROMHIDRATO + FENILEFRINA CLORHIDRATO,Hasta 500 mg AAS + 2 mg Clorfeniramina + 15 mg Dextrometorfano + 10 mg Fenilefrina,TABLETA / COMPRIMIDO EFERVESCENTE,"El alcohol puede incrementar el riesgo de dano gastrointestinal cuando se toma junto con acido acetilsalicilico. Puede producir sangrado de tubo digestivo alto, no ingerir en periodos cercanos a una cirugia por el incremento del riesgo de hemorragia. No usar por mas del tiempo y dosis recomendada. Si despues de 3 dias persisten los sintomas acudir a su medico o a la unidad de salud mas cercana. No utilizar en pacientes alergicos a la acido acetil salicilico."
28,ACIDO ASCORBICO (VITAMINA C),2000 mg,TABLETA / COMPRIMIDOS MASTICABLES / CAPSULAS / COMPRIMIDOS EFERVESCENTES,"La duracion del tratamiento en general no debe superar 10 dias continuos. Si los sintomas no mejoran o empeoran despues de 7 dias de tratamiento, buscar atencion medica."
29,ACIDO ASCORBICO (VITAMINA C) + ZINC,1000 mg + 10 mg,TABLETA / COMPRIMIDO,"La duracion del tratamiento en general no debe superar 10 dias continuados. Si los sintomas no mejoran o empeoran despues de 7 dias de tratamiento, buscar atencion medica. Tratamiento de estados carenciales de vitamina C, en adultos y adolescentes a partir de 14 anos."
30,ACIDO BENZOICO + ACIDO SALICILICO,100 mg + 200 mg / 5 g,UNGUENTO,Si persisten los sintomas luego de la dosis recomendada busque atencion medica.
31,ACIDO BORICO,2.75 g / 100 mL,SOLUCION OTICA,No usar si hay sospecha de infeccion o secreciones. Si los sintomas persisten consultar a su medico.
32,ACIDO BORICO + CALAMINA + GLICERINA + MENTOL + OXIDO DE ZINC + TALCO,[ILEGIBLE - celda tachada en el origen],LOCION,Si persisten los sintomas busque atencion medica.
33,ACIDO EICOSAPENTAENOICO + ACIDO DOCOSAHEXAENOICO,180 mg + 120 mg,CAPSULA,Si persisten los sintomas busque atencion medica.
34,ACIDO FOLICO,5 mg,TABLETA / COMPRIMIDO,No superar la dosis recomendada.
35,ACIDO FOLICO,5 mg / 5 mL,JARABE,No superar la dosis recomendada.
36,ACIDO FOLICO + VITAMINA B 12,5 mg + 500 mcg / 10 mL,JARABE,No superar la dosis recomendada.
37,ACIDO SALICILICO,30 g / 100 g,POMADA / UNGUENTO / GEL,Si persisten los sintomas busque atencion medica.
38,ACIDO SALICILICO,1 g / 100 mL,SOLUCION TOPICA,Si persisten los sintomas busque atencion medica.
39,ACIDO SALICILICO + ACIDO LACTICO,2.0 g + 0.5 g / 10 g,SOLUCION TOPICA,Si persisten los sintomas busque atencion medica.
40,ACIDO SALICILICO COMBINADO CON: AZUFRE + SULFATIAZOL,Hasta la concentracion maxima de Acido Salicilico,POMADA DERMICA,Si persisten los sintomas busque atencion medica.
41,ACIDO UNDECILENICO,19.06 g / 100 g,AEROSOL EN SUSPENSION,Si persisten los sintomas busque atencion medica.
42,AGUA ESTERIL,[ILEGIBLE - celda tachada en el origen],SOLUCION ESTERIL,No observaciones.
43,AGUA OXIGENADA,3% (10 VOLUMENES),SOLUCION,Solo para uso externo. No ingerir.
44,ALBENDAZOL,200 mg,TABLETA / COMPRIMIDO,No se debe administrar albendazol durante el embarazo o en mujeres que se sospeche embarazo. Consulte a su medico.
45,ALBENDAZOL,400 mg / 10 mL,SUSPENSION ORAL,No se debe administrar albendazol durante el embarazo o en mujeres que se sospeche embarazo. Consulte a su medico. Ninos entre 1-2 anos la dosis es de 200 mg. Una dosis. Consulte a su medico.
46,ALCANFOR,[ILEGIBLE - celda tachada en el origen],POMADA / CREMA,No ingerir.
47,ALCANFOR + TREMENTINA + MENTOL + ACEITE ESENCIAL DE EUCALIPTO + TIMOL,[ILEGIBLE - celda tachada en el origen],UNGUENTO,No ingerir.
48,ALCOHOL ETILICO,70 % V/V,SOLUCION,Solo para uso externo. No ingerir.
49,ALCOHOL ISOPROPILICO,70 % V/V,SOLUCION DE USO TOPICO,Solo para uso externo. No ingerir.
50,ALFA - AMILASA,3000 U.CEIP,TABLETA / COMPRIMIDOS GRAGEADOS,No superar la dosis recomendada.
51,ALFA - AMILASA,1000 U CEIP / 5 mL,JARABE,No superar la dosis recomendada.
52,ALGINATO DE SODIO + BICARBONATO DE SODIO,2.67 g - 2.50 g / 100 mL,SUSPENSION ORAL,No superar la dosis recomendada.
53,AMBROXOL CLORHIDRATO,30 mg,TABLETA / COMPRIMIDO / CAPLETA,No administrar a ninos menores de 2 anos. Si los sintomas persisten despues de 5 dias se debe acudir al medico o a la unidad de salud mas cercana.
